Valor	Superf	Dorm	Banys	Edat	Estat	Planta	Dist	ValSol	Tipus	Ascens	ExtInt	Reforma
26123904	139.7	4	1	35	3_N	Planta	Sants	106679.2	MANZ	SI	EXT	REF5A10
25650000	114	4	2	40	3_N	Planta	Sants	126608.05	MANZ	SI	EXT	REF5A10
10112000	64	3	1	120	1_MM	Planta	Sants	106679.2	MANZ	NO	INT	REF15-20
16875000	75	2	1	25	3_N	Planta	Sants	126608.05	MANZ	SI	INT	REF10-15
12672500	68.5	3	1	32	2_M	Planta	Sants	102693.43	MANZ	SI	EXT	SINREFORMA
15540000	92.5	3	1	60	2_M	Planta	Sants	89407.53	MANZ	NO	EXT	REF10-15
16200000	72	2	1	25	3_N	Planta	Sants	126608.05	MANZ	SI	EXT	REF10-15
13041000	94.5	3	1	65	1_MM	Planta	Sants	80107.4	MANZ	NO	EXT	REF>20
7750000	50	2	1	120	3_N	Bajos	Sants	73464.45	MANZ	SI	INT	REF1A5
28011720	120	4	2	12	3_N	Planta	Sants	133251	MANZ	SI	EXT	SINREFORMA
13824000	54	3	1	70	2_M	Planta	Sants	159822.8	MANZ	SI	EXT	RECIENREF
25122752	116.85	4	2	14	3_N	Planta	Sants	126608.05	MANZ	SI	EXT	SINREFORMA
