Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,2,6,Gràcia,31,la Vila de Gràcia,Usat. Milers d'euros,386.4
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Usat. Milers d'euros,384.1
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,Usat. Milers d'euros,274.2
2019,2,7,Horta-Guinardó,34,Can Baró,Usat. Milers d'euros,208.7
2019,2,7,Horta-Guinardó,35,el Guinardó,Usat. Milers d'euros,238.2
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,Usat. Milers d'euros,291
2019,2,7,Horta-Guinardó,37,el Carmel,Usat. Milers d'euros,149.8
2019,2,7,Horta-Guinardó,38,la Teixonera,Usat. Milers d'euros,142.7
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Usat. Milers d'euros,156.4
2019,2,7,Horta-Guinardó,40,Montbau,Usat. Milers d'euros,157.3
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,Usat. Milers d'euros,273.1
2019,2,7,Horta-Guinardó,42,la Clota,Usat. Milers d'euros,NA
2019,2,7,Horta-Guinardó,43,Horta,Usat. Milers d'euros,207.7
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Usat. Milers d'euros,182.5
2019,2,8,Nou Barris,45,Porta,Usat. Milers d'euros,169
2019,2,8,Nou Barris,46,el Turó de la Peira,Usat. Milers d'euros,137.3
2019,2,8,Nou Barris,47,Can Peguera,Usat. Milers d'euros,NA
2019,2,8,Nou Barris,48,la Guineueta,Usat. Milers d'euros,204.2
2019,2,8,Nou Barris,49,Canyelles,Usat. Milers d'euros,190.7
2019,2,8,Nou Barris,50,les Roquetes,Usat. Milers d'euros,120.9
2019,2,8,Nou Barris,51,Verdun,Usat. Milers d'euros,127.3
2019,2,8,Nou Barris,52,la Prosperitat,Usat. Milers d'euros,124.1
2019,2,8,Nou Barris,53,la Trinitat Nova,Usat. Milers d'euros,90.8
2019,2,8,Nou Barris,54,Torre Baró,Usat. Milers d'euros,NA
2019,2,8,Nou Barris,55,Ciutat Meridiana,Usat. Milers d'euros,90.7
2019,2,8,Nou Barris,56,Vallbona,Usat. Milers d'euros,99.9
2019,2,9,Sant Andreu,57,la Trinitat Vella,Usat. Milers d'euros,237.2
2019,2,9,Sant Andreu,58,Baró de Viver,Usat. Milers d'euros,NA
2019,2,9,Sant Andreu,59,el Bon Pastor,Usat. Milers d'euros,146.2
2019,2,9,Sant Andreu,60,Sant Andreu,Usat. Milers d'euros,210.8
2019,2,9,Sant Andreu,61,la Sagrera,Usat. Milers d'euros,293.5
2019,2,9,Sant Andreu,62,el Congrés i els Indians,Usat. Milers d'euros,217.3
2019,2,9,Sant Andreu,63,Navas,Usat. Milers d'euros,371.9
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Usat. Milers d'euros,309
2019,2,10,Sant Martí,65,el Clot,Usat. Milers d'euros,383
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Usat. Milers d'euros,280.8
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Usat. Milers d'euros,553.3
2019,2,10,Sant Martí,68,el Poblenou,Usat. Milers d'euros,288.2
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Usat. Milers d'euros,806.8
2019,2,10,Sant Martí,70,el Besòs i el Maresme,Usat. Milers d'euros,234.7
2019,2,10,Sant Martí,71,Provençals del Poblenou,Usat. Milers d'euros,334.5
2019,2,10,Sant Martí,72,Sant Martí de Provençals,Usat. Milers d'euros,257.9
2019,2,10,Sant Martí,73,la Verneda i la Pau,Usat. Milers d'euros,169.5
2019,2,1,Ciutat Vella,1,el Raval,Total. Euros/m2 construït,3838.4
2019,2,1,Ciutat Vella,2,el Barri Gòtic,Total. Euros/m2 construït,5630.7
2019,2,1,Ciutat Vella,3,la Barceloneta,Total. Euros/m2 construït,4556.1
2019,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Total. Euros/m2 construït,4032.7
2019,2,2,Eixample,5,el Fort Pienc,Total. Euros/m2 construït,6345
2019,2,2,Eixample,6,la Sagrada Família,Total. Euros/m2 construït,4414.2
2019,2,2,Eixample,7,la Dreta de l'Eixample,Total. Euros/m2 construït,5554
2019,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Total. Euros/m2 construït,5013.7
2019,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Total. Euros/m2 construït,4198.2
2019,2,2,Eixample,10,Sant Antoni,Total. Euros/m2 construït,4223.3
